subject,target,clustMask,sequence_type,session_i,session_j,euclidean_distance
8,seed,erode_1,se_e2,0,3,11.49
8,seed,erode_1,se_e2,1,2,13.11
8,seed,erode_1,se_e2,1,3,11.83
8,seed,erode_1,se_e2,2,3,18.33
8,seed,dilate_5,se,0,1,38.68
8,seed,dilate_5,se,0,2,17.55
8,seed,dilate_5,se,0,3,2.83
8,seed,dilate_5,se,1,2,24.74
8,seed,dilate_5,se,1,3,38.68
8,seed,dilate_5,se,2,3,18.22
8,seed,dilate_5,me,0,1,26.98
8,seed,dilate_5,me,0,2,46.69
8,seed,dilate_5,me,0,3,12.33
8,seed,dilate_5,me,1,2,42.0
8,seed,dilate_5,me,1,3,16.73
8,seed,dilate_5,me,2,3,37.68
8,seed,dilate_5,se_e2,0,1,18.97
8,seed,dilate_5,se_e2,0,2,8.72
8,seed,dilate_5,se_e2,0,3,17.55
8,seed,dilate_5,se_e2,1,2,15.1
8,seed,dilate_5,se_e2,1,3,34.12
8,seed,dilate_5,se_e2,2,3,23.83
8,network,orig,se,0,1,2.83
8,network,orig,se,0,2,12.33
8,network,orig,se,0,3,14.14
8,network,orig,se,1,2,10.95
8,network,orig,se,1,3,14.42
8,network,orig,se,2,3,17.66
8,network,orig,me,0,1,5.66
8,network,orig,me,0,2,17.2
8,network,orig,me,0,3,24.41
8,network,orig,me,1,2,12.33
8,network,orig,me,1,3,23.07
8,network,orig,me,2,3,17.09
8,network,orig,se_e2,0,1,9.17
8,network,orig,se_e2,0,2,8.25
8,network,orig,se_e2,0,3,15.75
8,network,orig,se_e2,1,2,2.83
8,network,orig,se_e2,1,3,9.17
8,network,orig,se_e2,2,3,10.77
8,network,erode_1,se,0,1,12.0
8,network,erode_1,se,0,2,6.63
8,network,erode_1,se,0,3,9.8
8,network,erode_1,se,1,2,17.32
8,network,erode_1,se,1,3,8.94
8,network,erode_1,se,2,3,15.36
8,network,erode_1,me,0,1,14.14
8,network,erode_1,me,0,2,4.9
8,network,erode_1,me,0,3,4.9
8,network,erode_1,me,1,2,18.55
8,network,erode_1,me,1,3,18.55
8,network,erode_1,me,2,3,0.0
8,network,erode_1,se_e2,0,1,10.2
8,network,erode_1,se_e2,0,2,10.39
8,network,erode_1,se_e2,0,3,8.94
8,network,erode_1,se_e2,1,2,15.62
8,network,erode_1,se_e2,1,3,18.55
8,network,erode_1,se_e2,2,3,13.11
8,network,dilate_5,se,0,1,11.66
8,network,dilate_5,se,0,2,23.15
8,network,dilate_5,se,0,3,39.45
8,network,dilate_5,se,1,2,24.17
8,network,dilate_5,se,1,3,44.59
8,network,dilate_5,se,2,3,24.74
8,network,dilate_5,me,0,1,36.77
8,network,dilate_5,me,0,2,20.88
8,network,dilate_5,me,0,3,28.84
8,network,dilate_5,me,1,2,18.22
8,network,dilate_5,me,1,3,30.59
8,network,dilate_5,me,2,3,29.73
8,network,dilate_5,se_e2,0,1,15.62
8,network,dilate_5,se_e2,0,2,7.48
8,network,dilate_5,se_e2,0,3,15.36
8,network,dilate_5,se_e2,1,2,11.49
8,network,dilate_5,se_e2,1,3,19.39
8,network,dilate_5,se_e2,2,3,20.1
9,seed,orig,se,0,1,10.77
9,seed,orig,se,0,2,16.25
9,seed,orig,se,0,3,18.87
9,seed,orig,se,1,2,20.69
9,seed,orig,se,1,3,22.45
9,seed,orig,se,2,3,8.25
9,seed,orig,me,0,1,11.49
9,seed,orig,me,0,2,11.66
9,seed,orig,me,0,3,13.56
9,seed,orig,me,1,2,20.49
9,seed,orig,me,1,3,10.77
9,seed,orig,me,2,3,17.2
9,seed,orig,se_e2,0,1,10.77
9,seed,orig,se_e2,0,2,11.66
9,seed,orig,se_e2,0,3,4.47
9,seed,orig,se_e2,1,2,4.47
9,seed,orig,se_e2,1,3,7.48
9,seed,orig,se_e2,2,3,8.72
9,seed,erode_1,se,0,1,14.56
9,seed,erode_1,se,0,2,18.55
9,seed,erode_1,se,0,3,7.48
9,seed,erode_1,se,1,2,8.72
9,seed,erode_1,se,1,3,10.39
9,seed,erode_1,se,2,3,14.42
9,seed,erode_1,me,0,1,8.0
9,seed,erode_1,me,0,2,12.96
9,seed,erode_1,me,0,3,12.0
9,seed,erode_1,me,1,2,8.49
9,seed,erode_1,me,1,3,8.94
9,seed,erode_1,me,2,3,7.48
9,seed,erode_1,se_e2,0,1,11.66
9,seed,erode_1,se_e2,0,2,4.47
9,seed,erode_1,se_e2,0,3,7.21
9,seed,erode_1,se_e2,1,2,8.72
9,seed,erode_1,se_e2,1,3,13.42
9,seed,erode_1,se_e2,2,3,6.32
9,seed,dilate_5,se,0,1,2.83
9,seed,dilate_5,se,0,2,34.29
9,seed,dilate_5,se,0,3,36.11
